fecha,GEO_1,GEO_2,Distancia_Km,Tiempo_A
2019071529175,"4.74576819,-74.05440006","4.67256928,-74.07292463",10.107000000000001,1.3236111111111102
2019030712956,"4.70967768,-74.05551888","4.7461826,-74.04551372",5.32,0.298055555555556
2019101021638,"4.6405722,-74.0792","4.68237685,-74.10601148",8.863999999999999,0.7113888888888891
2019121949237,"4.62087202,-74.1023429","4.62686244,-74.09716843",1.919,1.24972222222222
2019083163522,"4.75334635,-74.10007768","4.65556449,-74.07458744",15.137,2.14361111111111
2019080816969,"4.67449703,-74.05841146","4.71028429,-74.03322268",6.847,2.06888888888889
2019050202005,"4.6514984,-74.156796","4.7109886,-74.072092",15.110999999999999,1.75222222222222
2019080918246,"4.69493901,-74.03412503","4.74523988,-74.03786539",6.407,0.875
2019043059034,"4.6904652,-74.0347563","4.740881,-74.08381",10.972999999999999,1.01333333333333
2019033159371,"4.712194,-74.0829255","4.6163528,-74.153448",15.321,1.6988888888888898
2019120922866,"4.75479449,-74.08173056","4.7109886,-74.072092",8.168,0.9344444444444441
2019101124595,"4.81264624584106,-74.0400083611298","4.741234,-74.042414",9.339,0.8388888888888891
2019060100110,"4.6969853,-74.0843326","4.7451112,-74.0908128",9.658,2.1725
2019052448600,"4.69940366,-74.11840351","4.65360109,-74.07594534",9.816,2.39861111111111
2019102761188,"4.75346926,-74.10000318","4.6927031,-74.0938969",9.62,0.996666666666667
2019010917245,"4.7089096,-74.0596103","4.6219011,-74.0784847",11.99,1.04972222222222
2019041020561,"4.65710668,-74.04769025","4.75632972,-74.05989451",14.815999999999999,0.8797222222222221
2019111840285,"4.62927886,-74.07692428","4.62323765,-74.07053331",1.349,2.22138888888889
2019061427104,"4.70857872,-74.05959013","4.63966428,-74.07301359",10.68,0.7036111111111109
2019011019303,"4.58796403,-74.0894988","4.63039355,-74.10488831",9.112,1.54305555555556
2019111943078,"4.67723824,-74.07425525","4.6856687,-74.0542294",3.8930000000000002,0.8411111111111109
2019081734438,"4.72237323,-74.11898737","4.69217256,-74.08570685",5.8660000000000005,1.85
2019032241908,"4.65684066,-74.07618399","4.72932007,-74.03729364",11.392999999999999,0.3641666666666671
2019051631514,"4.65171085,-74.08667163","4.65784541,-74.07533247",2.571,2.35333333333333
2019071326680,"4.7022085,-74.0419897","4.7232827,-74.05622561",4.599,2.1188888888888897
2019112656181,"4.65229634,-74.10958756","4.60014112,-74.08632187",8.882,1.63833333333333
2019122775142,"4.65019707,-74.08949595","4.62219483,-74.06795252",5.638,1.9941666666666698
2019021629873,"4.76187120914591,-74.0386981889606","4.7404586,-74.1071117",13.677,0.6025
2019040613393,"4.70749358,-74.0489192","4.66295925,-74.07396702",7.184,0.5730555555555561
2019082244870,"4.71028429,-74.03322268","4.67289109,-74.07864295",8.038,0.9752777777777779
2019071225391,"4.6838969,-74.0474411","4.70717284,-74.06947023",4.752,2.6447222222222204
2019100511236,"4.6534898,-74.0546779","4.7146088,-74.0514472",8.245,0.41194444444444395
2019092245586,"4.6415281,-74.1561962","4.6435419,-74.1883349",5.405,0.865
2019032751318,"4.76299362,-74.06412617","4.66084043,-74.07245957",14.049000000000001,0.6275
2019061325127,"4.6473317,-74.1403645","4.71599629,-74.11484815",11.179,0.17694444444444396
2019100203475,"4.71367036,-74.12522817","4.7396507,-74.0836275",8.683,1.2066666666666699
2019070305629,"4.69755321,-74.10519677","4.58575264,-74.09897223",16.674,0.290277777777778
2019120201919,"4.7018472,-74.05005914","4.6392913,-74.076381",9.385,0.7775
2019091121197,"4.6627219,-74.133144","4.7109886,-74.072092",12.413,0.546944444444444
2019082041223,"4.662112,-74.051196","4.7127152,-74.0522632",8.241,0.923055555555556
2019031833083,"4.645548,-74.13656997","4.6624734,-74.07414542",13.616,0.6855555555555559
2019052245037,"4.59301954,-74.09700014","4.7109886,-74.072092",18.369,0.3733333333333329
2019102863642,"4.71550545,-74.0647139","4.65994891,-74.06391734",8.256,0.20583333333333304
2019070406451,"4.63737,-74.0792699","4.7109886,-74.072092",11.194,0.800833333333333
2019091630928,"4.59162144,-74.13599531","4.71358175,-74.05390531",20.027,2.08472222222222
2019061938568,"4.6957583,-74.039492","4.70857872,-74.05959013",3.583,0.613055555555556
2019081223984,"4.74468064,-74.03264602","4.65237053,-74.07685945",14.353,1.46055555555556
2019103170203,"4.69579667,-74.12404558","4.63260134,-74.18301182",13.182,1.4163888888888898
2019050304651,"4.69206158,-74.06721006","4.688199,-74.0288605",5.706,0.8911111111111109
2019100306149,"4.70659,-74.071023","4.65070614,-74.14070634",14.67,1.6066666666666698
2019101124616,"4.6638092,-74.1303211","4.7109886,-74.072092",11.155,1.11166666666667
2019120923108,"4.760103,-74.064728","4.75000243,-74.04795585",2.7089999999999996,0.326666666666667
2019060610240,"4.73282556,-74.06411973","4.75207321,-74.06413702",2.484,0.39555555555555605
2019022545101,"4.74576819,-74.05440006","4.66622999,-74.07795671",10.991,1.3613888888888899
2019052958849,"4.62690884,-74.12087179","4.68218802,-74.08426582",9.377,0.48944444444444396
2019090916826,"4.69712438,-74.03387213","4.7109886,-74.072092",6.747999999999999,0.864166666666667
2019080815510,"4.55265441,-74.13824009","4.6486486,-74.1068618",12.695,1.20472222222222
2019041529965,"4.6659093,-74.1101163","4.7109886,-74.072092",8.731,0.5883333333333329
2019111534768,"4.7082448,-74.0537588","4.6467485,-74.0617162",7.231,1.01666666666667
2019081223368,"4.69296931,-74.03883232","4.67078703,-74.06827687",5.564,0.36194444444444396
2019100102256,"4.74368887,-74.09512031","4.7508878,-74.11805282",3.8510000000000004,2.11333333333333
2019060101707,"4.6898503,-74.0572805","4.7109886,-74.072092",3.9819999999999998,1.23805555555556
2019071632348,"4.73746784,-74.07645242","4.740157,-74.0303098",7.707000000000001,0.805
2019100304554,"4.7508878,-74.11805282","4.65450577,-74.07552747",17.119,0.693055555555556
2019042445402,"4.71864924,-74.05462525","4.713343,-74.052209",2.093,1.93416666666667
2019061325266,"4.70828114150032,-74.085292853415","4.6528755,-74.0537729",9.655,1.1625
2019052040871,"4.72426863,-74.0589361","4.727572,-74.050867",1.251,0.37611111111111106
2019050611955,"4.71737343,-74.05334613","4.62976444,-74.08461413",11.603,0.20944444444444396
2019100203699,"4.76190261631825,-74.0386576205492","4.7179902,-74.0542469",6.421,0.626666666666667
2019041122097,"4.70857872,-74.05959013","4.62103855329488,-74.0759220681476",11.725,0.41194444444444395
2019033057226,"4.60671744172538,-74.145835414225","4.57146548,-74.09580041",8.404,0.477222222222222
2019092652630,"4.70072116,-74.06160549","4.65589741,-74.07439649",6.7379999999999995,1.10972222222222
2019032241724,"4.74729139,-74.03194702","4.7109886,-74.072092",9.54,1.8725
2019060916540,"4.5817281,-74.09672827","4.69248092,-74.12084697",19.213,0.48361111111111105
2019090713822,"4.69892469151056,-74.0988815948367","4.580109,-74.1147388",20.046,1.2988888888888899
2019030611226,"4.65762,-74.07759","4.7109886,-74.072092",8.934,0.918333333333333
2019033057367,"4.62864978289241,-74.1377807182465","4.60581709,-74.10413783",6.261,0.933333333333333
2019101635295,"4.64457303,-74.12006375","4.7109886,-74.072092",10.520999999999999,1.16527777777778
2019030509322,"4.62842735,-74.07939261","4.7128399,-74.0291674",12.634,1.70055555555556
2019051732973,"4.61809974,-74.12603523","4.7109886,-74.072092",14.386,1.5711111111111102
2019071019129,"4.66524458,-74.11686604","4.58213149,-74.08700442",15.850999999999999,0.9452777777777779
2019110509958,"4.65657854,-74.11203013","4.65640112,-74.07222354",7.353,0.427222222222222
2019010814934,"4.71765432,-74.03535266","4.6819838,-74.04424111",4.695,0.820833333333333
2019123084103,"4.64853736,-74.16821138","4.62255414,-74.09332259",10.469000000000001,1.32222222222222
2019050305373,"4.62967382203883,-74.1222963024467","4.7109886,-74.072092",13.949000000000002,1.03222222222222
2019022748949,"4.6357386,-74.06223772","4.62266435,-74.0851452",3.8510000000000004,1.175
2019032037527,"4.6965633,-74.06714381","4.7109886,-74.072092",1.943,1.15416666666667
2019053163425,"4.71979985,-74.04721233","4.74433713,-74.04324834",3.949,1.0930555555555599
2019111329152,"4.6617554,-74.1154112","4.6078735,-74.1412384",9.647,1.7088888888888898
2019041529380,"4.66791098,-74.13085361","4.62162415,-74.10666589",9.139,0.8475
2019090714176,"4.5954447,-74.14469486","4.62922033,-74.09699396",8.651,1.1725
2019060101069,"4.6835654,-74.0474677","4.63072365,-74.10635024",10.203,1.2936111111111102
2019032036973,"4.66282141,-74.07599619","4.66342558,-74.07685835",1.551,1.19277777777778
2019121026109,"4.72775427,-74.0977914","4.75330599,-74.05600685",8.532,1.55222222222222
2019050406831,"4.63875245,-74.06386183","4.60581709,-74.10413783",7.5520000000000005,0.4075
2019120717074,"4.7328892,-74.05009289","4.7109886,-74.072092",4.967,1.17833333333333
2019070612092,"4.75133002,-74.09277993","4.7232827,-74.05622561",8.687000000000001,0.8772222222222221
2019101943455,"4.67428249,-74.10886186","4.67873308,-74.07961513",6.437,1.29916666666667
2019021322849,"4.66923142,-74.0729046","4.71147739,-74.0515135",7.28,0.729166666666667
2019092755142,"4.59753659,-74.18282159","4.71679549,-74.06364303",23.276999999999997,2.75972222222222
2019031120142,"4.57639117,-74.13899426","4.6516784,-74.07677189",13.7,1.03833333333333
2019052346800,"4.7261164,-74.0295418","4.74433713,-74.04324834",3.661,0.730833333333333
2019110100566,"4.64038899,-74.14550238","4.6977637,-74.0968336",11.206,1.96972222222222
2019083163282,"4.74345681,-74.12575618","4.744334,-74.043407",15.4,1.06444444444444
2019050100086,"4.6673639,-74.1187759","4.7336829,-74.0245704",17.514,1.25666666666667
2019100614249,"4.612817,-74.1452827","4.7109886,-74.072092",15.095999999999998,1.62805555555556
2019091324760,"4.66440876,-74.07560365","4.7109886,-74.072092",8.147,0.832777777777778
2019030100626,"4.59646578,-74.08910212","4.62437181,-74.09769912",4.673,0.41
2019091632810,"4.72891953,-74.03314429","4.6979526,-74.12730785",16.629,0.8027777777777779
2019052958261,"4.64917949,-74.07412358","4.698357,-74.076921",9.552,0.578055555555556
2019110817241,"4.56250658,-74.14260476","4.62163941,-74.06746702",13.464,1.42777777777778
2019032648923,"4.75600386,-74.11510402","4.64877099,-74.10733913",17.082,0.329166666666667
2019090610216,"4.63881353,-74.06079516","4.62866005,-74.10913169",7.6339999999999995,0.195
2019120718030,"4.6244277,-74.1619908","4.6091532,-74.0938969",10.103,0.9375
2019032037682,"4.66760204,-74.08253732","4.6714074,-74.06849384",3.1010000000000004,1.02861111111111
2019081632897,"4.632076,-74.1902283","4.6538621,-74.1137188",13.589,0.7111111111111109
2019100202842,"4.7237282,-74.0421386","4.69836,-74.0710469",6.324,0.8875
2019042038267,"4.64272587,-74.14097769","4.70039482,-74.06998009",12.069,0.38888888888888895
2019090304343,"4.61344793,-74.19837106","4.61711897,-74.16315704",6.183,0.955
2019022239893,"4.65395277,-74.05687546","4.66231837,-74.06155506",2.015,0.841666666666667
2019021119320,"4.65171085,-74.08667163","4.6667894,-74.06924591",4.066,0.8730555555555559
2019080917580,"4.73415271,-74.06050441","4.72443093,-74.05410001",3.012,0.289722222222222
2019042241125,"4.69718327,-74.08396791","4.74433713,-74.04324834",11.564,1.33805555555556
2019052041183,"4.6054845,-74.10978137","4.62070289,-74.0994546",3.0,1.37305555555556
2019022341981,"4.57831821,-74.1022605","4.657001,-74.073544",11.732000000000001,1.32916666666667
2019011122309,"4.5955007,-74.1109975","4.57676523,-74.08031405",6.055,2.10972222222222
2019040613729,"4.75925913,-74.03318485","4.75674087,-74.03451002",0.435,0.6033333333333329
2019021831806,"4.7322007,-74.0579328","4.7170436,-74.0566409",3.465,0.4958333333333329
2019061222964,"4.69663868,-74.02763983","4.7418707,-74.04504486",7.869,0.6011111111111109
2019112963946,"4.67851547,-74.04826523","4.69860029,-74.11820955",13.05,1.20805555555556
2019081326202,"4.70565927,-74.08935987","4.65154081,-74.14445032",11.902999999999999,0.855833333333333
2019020204317,"4.75002696,-74.06077745","4.74023837,-74.06551057",2.202,1.39722222222222
2019051019282,"4.66403461,-74.06478602","4.54312719,-74.13779167",22.259,0.761944444444444
2019091428873,"4.670891,-74.04733762","4.7109886,-74.072092",7.028,0.5775
2019032853781,"4.6521468,-74.0787563","4.69183091,-74.12079197",10.482000000000001,1.37277777777778
2019071529412,"4.73033868856452,-74.0653315186501","4.6825241,-74.0453696",8.222999999999999,0.377777777777778
2019062753684,"4.64707404,-74.12327456","4.62926302,-74.10982089",2.99,1.6175
2019112247422,"4.65657854,-74.11203013","4.65640112,-74.07222354",7.353,2.7041666666666697
2019050406853,"4.7109886,-74.072092","4.66914955,-74.0711656",6.01,1.7475
2019100715160,"4.61283829,-74.14289662","4.65794463,-74.06700426",13.307,0.4433333333333329
2019080917981,"4.61627671,-74.09771954","4.62167661,-74.07528101",4.3469999999999995,1.2933333333333301
2019110817725,"4.71901,-74.05187","4.7461826,-74.04551372",4.531000000000001,2.16444444444444
2019013056544,"4.63774805,-74.10386165","4.65580644,-74.06885857",5.584,0.665555555555556
2019040203326,"4.59559577,-74.14280198","4.7167496,-74.1175618",18.281,1.4958333333333302
2019060406200,"4.58555899,-74.17162367","4.61326531,-74.14147766",6.96,1.21
2019112860378,"4.665925,-74.050773","4.66982571,-74.08018031",6.729,0.38055555555555604
2019071529250,"4.65209184,-74.09324298","4.7109886,-74.072092",9.927999999999999,0.7275
